Ontology(abbreviation=PATO, label=Phenotypic quality, ontologyAccession=1107)
Ontology(abbreviation=BILA, label=Bilateria anatomy, ontologyAccession=1114)
Ontology(abbreviation=ZEA, label=Maize gross anatomy, ontologyAccession=1050)
Ontology(abbreviation=GRO_CPD, label=Cereal Plant Development, ontologyAccession=1047)
Ontology(abbreviation=ICPC2P, label=ICPC-2 PLUS, ontologyAccession=1429)
Ontology(abbreviation=ICPCFRE, label=ICPC, French Translation, ontologyAccession=2103)
Ontology(abbreviation=WHOFRE, label=WHOART, French Translation, ontologyAccession=2102)
Ontology(abbreviation=NCBITaxonOWL, label=NCBI organismal classification in OWL, ontologyAccession=2023)
Ontology(abbreviation=MCCL, label=Cell line ontology, ontologyAccession=1245)
Ontology(abbreviation=NCBI_NMOsp, label=NeuroMorpho.Org Species Ontology, ontologyAccession=2055)
Ontology(abbreviation=NCBI_NMOsp, label=NeuroMorpho.Org Species Ontology, ontologyAccession=2056)
Ontology(abbreviation=NCBI_NMO, label=NeuroMorpho.Org species ontology, ontologyAccession=2054)
Ontology(abbreviation=RadLex_OWL, label=RadLex in OWL, ontologyAccession=2024)
Ontology(abbreviation=3.0 OWL, label=Radlex 3.0 in OWL, ontologyAccession=2027)
Ontology(abbreviation=RID, label=RadLex_german_Beta, ontologyAccession=1260)
Ontology(abbreviation=FMA_subset, label=Foundational Model of Anatomy (subset), ontologyAccession=2006)
Ontology(abbreviation=SNOMEDCT-CF, label=SNOMED Clinical Findings, ontologyAccession=2018)
Ontology(abbreviation=NeuroFMA, label=NeuroFMA, ontologyAccession=2004)
Ontology(abbreviation=SNOMEDCT-ORG, label=SNOMED Organism, ontologyAccession=2021)
Ontology(abbreviation=ACGT, label=Cancer Research and Management ACGT Master Ontology, ontologyAccession=1130)
Ontology(abbreviation=MSHFRE, label=Thesaurus Biomedical Francais/Anglais [French translation of MeSH], ontologyAccession=1456)
Ontology(abbreviation=MSHSPA, label=Descritores en Ciencias de la Salud (Spanish MeSH), ontologyAccession=1420)
Ontology(abbreviation=GRO, label=Gene Regulation Ontology, ontologyAccession=1082)
Ontology(abbreviation=MHC, label=MaHCO - An MHC Ontology, ontologyAccession=1088)
Ontology(abbreviation=INO, label=Interaction Network Ontology, ontologyAccession=1515)
Ontology(abbreviation=GFO-Bio, label=General Formal Ontology: Biology, ontologyAccession=1440)
Ontology(abbreviation=SNOMEDCT-MAS, label=SNOMED Morphologically Abnormal Structure, ontologyAccession=2058)
Ontology(abbreviation=DDI, label=Ontology for Drug Discovery Investigations, ontologyAccession=1540)
Ontology(abbreviation=SNOMEDCT-TF, label=SNOMED Test Findings, ontologyAccession=2019)
Ontology(abbreviation=MAT, label=Minimal anatomical terminology, ontologyAccession=1152)
Ontology(abbreviation=ATO, label=Amphibian taxonomy, ontologyAccession=1370)
Ontology(abbreviation=MCCL, label=Cell line ontology, ontologyAccession=1541)
Ontology(abbreviation=MCBCC, label=Breast tissue cell lines, ontologyAccession=1438)
Ontology(abbreviation=BRO, label=BRO Resource View, ontologyAccession=2022)
Ontology(abbreviation=EV, label=eVOC (Expressed Sequence Annotation for Humans), ontologyAccession=1013)
Ontology(abbreviation=MTHCH, label=Metathesaurus CPT Hierarchical Terms, ontologyAccession=1510)
Ontology(abbreviation=BPMetadata, label=BioPortal Metadata, ontologyAccession=1148)
Ontology(abbreviation=SBRO, label=Smoking Behavior Risk Ontology, ontologyAccession=1249)
Ontology(abbreviation=ICF-d860-d879, label=ICF-d860-d879. Economic life, ontologyAccession=2052)
Ontology(abbreviation=ICF-d840-d859, label=ICF-d840-d859. Work and employment, ontologyAccession=2051)
Ontology(abbreviation=ICF-d840-d859/d860-d879, label=ICF-d840-d879. Work and economic life, ontologyAccession=2053)
Ontology(abbreviation=ICF-d810-d839, label=ICF-d810-d839. Education, ontologyAccession=2050)
Ontology(abbreviation=ICF-d8, label=ICF-d8. MAJOR LIFE AREAS, ontologyAccession=2048)
Ontology(abbreviation=ICF-d9, label=ICF-d9. COMMUNITY, SOCIAL AND CIVIC LIFE, ontologyAccession=2049)
Ontology(abbreviation=ICF-d4, label=ICF-d4. MOBILITY, ontologyAccession=2044)
Ontology(abbreviation=ICF-d5, label=ICF-d5. SELF-CARE, ontologyAccession=2045)
Ontology(abbreviation=ICF-d6, label=ICF-d6. DOMESTIC LIFE, ontologyAccession=2046)
Ontology(abbreviation=ICF-d7, label=ICF-d7. INTERPERSONAL INTERACTIONS AND RELATIONSHIPS, ontologyAccession=2047)
Ontology(abbreviation=ICF-d3, label=ICF-d3. COMMUNICATION, ontologyAccession=2043)
Ontology(abbreviation=ICF-d2, label=ICF-d2. GENERAL TASKS AND DEMANDS, ontologyAccession=2042)
Ontology(abbreviation=ICF-d1, label=ICF-d1. LEARNING AND APPLYING KNOWLEDGE, ontologyAccession=2041)
Ontology(abbreviation=HOM, label=Ontology of homology and related concepts in biology, ontologyAccession=1328)
Ontology(abbreviation=BP, label=BioPAX, ontologyAccession=1522)
Ontology(abbreviation=RoleO, label=Role Ontology, ontologyAccession=1538)
Ontology(abbreviation=SNOMED-Ethnic-Group, label=SNOMED Ethnic Group, ontologyAccession=2057)
Ontology(abbreviation=iceci-mechanism, label=iceci-mechanism C2, ontologyAccession=2035)
Ontology(abbreviation=iceci-instrument_object_substance, label=iceci-instrument_object_substance C3, ontologyAccession=2033)
Ontology(abbreviation=iceci-descriptor_for_intent, label=iceci-descriptor_for_intent V.1 - V.7, ontologyAccession=2030)
Ontology(abbreviation=iceci-details_for_mechanism, label=iceci-details_for_mechanism T1-T4, ontologyAccession=2031)
Ontology(abbreviation=goslim_plant, label=Plant slim, ontologyAccession=2009)
Ontology(abbreviation=Field, label=PhysicalFields, ontologyAccession=1369)
Ontology(abbreviation=POL, label=Pilot Ontology, ontologyAccession=1399)
Ontology(abbreviation=bodysystem, label=Body System, ontologyAccession=1487)
Ontology(abbreviation=iceci-details_for_activity, label=iceci-details_for_activity O1-O2 S1-S2, ontologyAccession=2038)
Ontology(abbreviation=iceci-place_of_occurrence, label=iceci-place_of_occurrence C4, ontologyAccession=2036)
Ontology(abbreviation=iceci-intent, label=iceci-intent C1, ontologyAccession=2034)
Ontology(abbreviation=iceci-activity, label=iceci-activity C.5, ontologyAccession=2028)
Ontology(abbreviation=SSO, label=Syndromic Surveillance Ontology, ontologyAccession=1394)
Ontology(abbreviation=k2p, label=linkingkin2pep, ontologyAccession=1406)
Ontology(abbreviation=MDR, label=MedDRA, ontologyAccession=1422)
Ontology(abbreviation=TMA, label=Tissue Microarray Ontology, ontologyAccession=1494)
Ontology(abbreviation=NeuMORE, label=Neural Motor Recovery Ontology, ontologyAccession=1521)
Ontology(abbreviation=iceci-substance_use, label=iceci-substance_use C6-C7, ontologyAccession=2037)
Ontology(abbreviation=iceci-details_for_place_of_occurrence, label=iceci-details_for_place_of_occurrence P1-P7, ontologyAccession=2032)
Ontology(abbreviation=iceci-countermeasures, label=iceci-countermeasures S.4, ontologyAccession=2029)
Ontology(abbreviation=apollo, label=apollo-akesios, ontologyAccession=1534)
Ontology(abbreviation=CPTAC, label=Proteomics Pipeline Infrastructure for CPTAC, ontologyAccession=1192)
Ontology(abbreviation=PD_ST, label=Platynereis stage ontology, ontologyAccession=1490)
Ontology(abbreviation=NIGO, label=Neural-Immune Gene Ontology, ontologyAccession=1539)
Ontology(abbreviation=RNAO, label=RNA ontology, ontologyAccession=1500)
Ontology(abbreviation=ATMO, label=African Traditional Medicine, ontologyAccession=1099)
Ontology(abbreviation=CO_Wheat, label=Wheat trait , ontologyAccession=1545)
Ontology(abbreviation=SCTSPA, label=SNOMED Terminos Clinicos, ontologyAccession=1416)
Ontology(abbreviation=goslim_pir, label=Protein Information Resource slim, ontologyAccession=2012)
Ontology(abbreviation=goslim_pir, label=Protein Information Resource slim, ontologyAccession=2011)
Ontology(abbreviation=goslim_yeast, label=Yeast slim, ontologyAccession=2014)
Ontology(abbreviation=goslim_pombe, label=Schizosaccharomyces pombe slim, ontologyAccession=2013)
Ontology(abbreviation=goslim_candida, label=Candida albicans slim, ontologyAccession=2010)
Ontology(abbreviation=BRO-Activity, label=Biomedical Resource Ontology - Activity View, ontologyAccession=2001)
Ontology(abbreviation=goslim_goa, label=GOA and whole proteome analysis, ontologyAccession=2008)
Ontology(abbreviation=Amino Acid-zh_CN, label=Amino Acid with Simplified Chinese annotations, ontologyAccession=1168)
Ontology(abbreviation=BiositemapIM, label=Biositemap Information Model, ontologyAccession=2003)
Ontology(abbreviation=BRO-AreaOfResearch, label=Biomedical Resource Ontology - Area of Research View, ontologyAccession=2002)
Ontology(abbreviation=CTOinSKOS, label=CTO in SKOS, ontologyAccession=2016)
Ontology(abbreviation=SOFA, label=Sequence Ontology Feature Annotation, ontologyAccession=2015)
Ontology(abbreviation=goslim_generic, label=Generic GO slim, ontologyAccession=2007)
Ontology(abbreviation=MFO, label=Medaka fish anatomy and development, ontologyAccession=1027)
Ontology(abbreviation=FBsp, label=Fly taxonomy, ontologyAccession=1064)
Ontology(abbreviation=FIX, label=Physico-chemical methods and properties, ontologyAccession=1014)
Ontology(abbreviation=IEV, label=Event (INOH pathway ontology), ontologyAccession=1011)
Ontology(abbreviation=LiPrO, label=Lipid Ontology, ontologyAccession=1183)
Ontology(abbreviation=IMR, label=Molecule role (INOH Protein name/family name ontology), ontologyAccession=1029)
Ontology(abbreviation=PDQ, label=Physician Data Query, ontologyAccession=1349)
Ontology(abbreviation=CPR, label=Computer-based Patient Record Ontology, ontologyAccession=1059)
Ontology(abbreviation=EHDA, label=Human developmental anatomy, timed version, ontologyAccession=1022)
Ontology(abbreviation=EMAP, label=Mouse gross anatomy and development, ontologyAccession=1010)
Ontology(abbreviation=BOOTStrep, label=Gene Regulation Ontology, ontologyAccession=1106)
Ontology(abbreviation=EHDAA, label=Human developmental anatomy, abstract version, ontologyAccession=1021)
Ontology(abbreviation=ICNP, label=International Classification for Nursing Practice, ontologyAccession=1401)
Ontology(abbreviation=ABA, label=ABA Adult Mouse Brain, ontologyAccession=1290)
Ontology(abbreviation=NMOABA, label=NeuroMorpho.Org Allen Brain Atlas ontology, ontologyAccession=2069)
Ontology(abbreviation=FBbi, label=Biological imaging methods, ontologyAccession=1023)
Ontology(abbreviation=BRO-Chinese, label=Biomedical Resource Ontology with Simplified Chinese annotations., ontologyAccession=2017)
Ontology(abbreviation=PEO, label=Parasite Experiment Ontology, ontologyAccession=1335)
Ontology(abbreviation=FAO, label=Fungal gross anatomy, ontologyAccession=1019)
Ontology(abbreviation=obi-device, label=OBI Device branch, ontologyAccession=2065)
Ontology(abbreviation=HOM-ICD9, label=ICD9 for Health Ontology Mapper, ontologyAccession=2059)
Ontology(abbreviation=WBls, label=C. elegans development, ontologyAccession=1049)
Ontology(abbreviation=SitBAC, label=Situation-Based Access Control, ontologyAccession=1237)
Ontology(abbreviation=TRANS, label=Pathogen transmission, ontologyAccession=1094)
Ontology(abbreviation=HLTH_INDICS, label=HEALTH_INDICATORS, ontologyAccession=1581)
Ontology(abbreviation=HOM_HARVARD, label=HOM-HARVARD, ontologyAccession=1631)
Ontology(abbreviation=NeoMarkOntology, label=Neomark Oral Cancer-Centred Ontology, ontologyAccession=1501)
Ontology(abbreviation=HUGO, label=HUGO, ontologyAccession=1528)
Ontology(abbreviation=PVOnto, label=Pharmacovigilance Ontology, ontologyAccession=1567)
Ontology(abbreviation=OMIM, label=Online Mendelian Inheritance in Man, ontologyAccession=1348)
Ontology(abbreviation=FDA-MedDevice, label=FDA Medical Devices (2010), ontologyAccession=1576)
Ontology(abbreviation=UCare_Demographics, label=HOM_UCSF_UCare_Demographics, ontologyAccession=2063)
Ontology(abbreviation=TM-CONST, label=Traditional Medicine Constitution Value Set, ontologyAccession=1570)
Ontology(abbreviation=TM-OTHER-FACTORS, label=Traditional Medicine Other Factors Value Set, ontologyAccession=1571)
Ontology(abbreviation=TM-SIGNS-AND-SYMPTS, label=Traditional Medicine Signs and Symptoms Value Set, ontologyAccession=1572)
Ontology(abbreviation=TM-MER, label=Traditional Medicine Meridian Value Sets, ontologyAccession=1573)
Ontology(abbreviation=HOM-UCSF_UCareDispostion, label=Health Ontology Mapper - UCSF_UCareDischargeDisposition, ontologyAccession=2062)
Ontology(abbreviation=RCJI, label=READ codes joint injury tree, ontologyAccession=2067)
Ontology(abbreviation=LOINC, label=LOINC, ontologyAccession=2064)
Ontology(abbreviation=BRO-Core, label=Biomedical Resource Ontology - Resource View, ontologyAccession=2000)
Ontology(abbreviation=MAO, label=Multiple alignment, ontologyAccession=1026)
Ontology(abbreviation=DC_CL, label=Dendritic cell, ontologyAccession=1144)
Ontology(abbreviation=pma, label=PMA 2010, ontologyAccession=1497)
Ontology(abbreviation=ECG, label=Electrocardiography Ontology, ontologyAccession=1146)
Ontology(abbreviation=TAHH, label=Terminology of Anatomy of Human Histology, ontologyAccession=1535)
Ontology(abbreviation=TAHE, label=Terminology of Anatomy of Human Embryology, ontologyAccession=1536)
Ontology(abbreviation=FBbt, label=Drosophila gross anatomy, ontologyAccession=1015)
Ontology(abbreviation=CL, label=Cell type, ontologyAccession=1006)
Ontology(abbreviation=NCBITaxon, label=NCBI organismal classification, ontologyAccession=1132)
Ontology(abbreviation=obi-fged, label=FGED View, ontologyAccession=2070)
Ontology(abbreviation=OBI_IEDB_view, label=IEDB View, ontologyAccession=2093)
Ontology(abbreviation=NCBI_NMOsp, label=NeuroMorpho.Org species ontology, ontologyAccession=2072)
Ontology(abbreviation=IDOBRU, label=Brucellosis Ontology, ontologyAccession=1537)
Ontology(abbreviation=nif, label=NIFSTD, ontologyAccession=1084)
Ontology(abbreviation=FLU, label=Influenza Ontology, ontologyAccession=1417)
Ontology(abbreviation=SNOMEDCT, label=SNOMED Clinical Terms, ontologyAccession=1353)
Ontology(abbreviation=UBERON, label=Uber anatomy ontology, ontologyAccession=1404)
Ontology(abbreviation=TAO, label=Teleost Anatomy Ontology, ontologyAccession=1110)
Ontology(abbreviation=BioModels, label=BioModels Ontology, ontologyAccession=3022)
Ontology(abbreviation=VO, label=Vaccine Ontology, ontologyAccession=1172)
Ontology(abbreviation=SDO, label=Sleep Domain Ontology, ontologyAccession=1651)
Ontology(abbreviation=SO, label=Sequence types and features, ontologyAccession=1109)
Ontology(abbreviation=NIF_Dysfunction, label=NIF Dysfunction, ontologyAccession=1381)
Ontology(abbreviation=PO, label=Plant Ontology, ontologyAccession=1587)
Ontology(abbreviation=OntoDM, label=Ontology of Data Mining, ontologyAccession=1638)
Ontology(abbreviation=FYPO, label=Fission Yeast Phenotype Ontology, ontologyAccession=1689)
Ontology(abbreviation=TTO, label=Teleost taxonomy, ontologyAccession=1081)
Ontology(abbreviation=CPO, label=Cell Phenotype Ontology, ontologyAccession=3020)
Ontology(abbreviation=MA, label=Mouse adult gross anatomy, ontologyAccession=1000)
Ontology(abbreviation=SNOMEDCT-ANAT, label=SNOMED Anatomy, ontologyAccession=2020)
Ontology(abbreviation=BTO, label=BRENDA tissue / enzyme source, ontologyAccession=1005)
Ontology(abbreviation=HP, label=Human Phenotype Ontology, ontologyAccession=1125)
Ontology(abbreviation=LNC, label=Logical Observation Identifier Names and Codes, ontologyAccession=1350)
Ontology(abbreviation=SOPHARM, label=Suggested Ontology for Pharmacogenomics, ontologyAccession=1061)
Ontology(abbreviation=DDANAT, label=Dictyostelium discoideum anatomy, ontologyAccession=1008)
Ontology(abbreviation=NPO, label=NanoParticle Ontology, ontologyAccession=1083)
Ontology(abbreviation=vHOG, label=vertebrate Homologous Organ Groups, ontologyAccession=1574)
Ontology(abbreviation=NIF_Cell, label=NIF Cell, ontologyAccession=1402)
Ontology(abbreviation=MFOEM, label=Emotion Ontology, ontologyAccession=1666)
Ontology(abbreviation=MF, label=Mental Functioning Ontology, ontologyAccession=3002)
Ontology(abbreviation=NatPrO, label=Natural Products Ontology, ontologyAccession=3004)
Ontology(abbreviation=NIF-Subcell, label=NIF-Subcellular, ontologyAccession=3126)
Ontology(abbreviation=SNMD_BDY, label=Snomed, Body Structure, ontologyAccession=2105)
Ontology(abbreviation=BT, label=BioTop, ontologyAccession=1134)
Ontology(abbreviation=OGI, label=Ontology for Genetic Interval, ontologyAccession=1100)
Ontology(abbreviation=EFO, label=Experimental Factor Ontology, ontologyAccession=1136)
Ontology(abbreviation=NCIt, label=NCI Thesaurus, ontologyAccession=1032)
Ontology(abbreviation=BDO, label=Bone Dysplasia Ontology, ontologyAccession=1613)
Ontology(abbreviation=VT, label=Vertebrate Trait Ontology, ontologyAccession=1659)
Ontology(abbreviation=NeoMark, label=Neomark Oral Cancer Ontology, ontologyAccession=1686)
Ontology(abbreviation=ERO, label=eagle-i research resource ontology, ontologyAccession=3016)
Ontology(abbreviation=NTDO, label=Neglected Tropical Disease Ontology (NTDO), ontologyAccession=3153)
Ontology(abbreviation=OntoPneumo, label=OntoPneumo, ontologyAccession=3181)
Ontology(abbreviation=TGMA, label=Mosquito gross anatomy, ontologyAccession=1030)
Ontology(abbreviation=AAO, label=Amphibian gross anatomy, ontologyAccession=1090)
Ontology(abbreviation=ODGI, label=Ontology for disease genetic investigation, ontologyAccession=1086)
Ontology(abbreviation=SIO, label=SemanticScience Integrated Ontology, ontologyAccession=1532)
Ontology(abbreviation=SYN, label=Synapse Ontology, ontologyAccession=1696)
Ontology(abbreviation=RH-MESH, label=Robert Hoehndorf's Version of MeSH, ontologyAccession=3019)
Ontology(abbreviation=ImmDis, label=Immune Disorder Ontology, ontologyAccession=3127)
Ontology(abbreviation=IDODEN, label=Dengue Fever Ontology, ontologyAccession=3174)
Ontology(abbreviation=PO_PAE, label=Plant Anatomy, ontologyAccession=1108)
Ontology(abbreviation=OPB.properties, label=Ontology of Physics for Biology, ontologyAccession=1141)
Ontology(abbreviation=SWO, label=Software Ontology, ontologyAccession=1413)
Ontology(abbreviation=NCIt-Activity, label=Activity-View, ontologyAccession=2026)
Ontology(abbreviation=NDF-RT, label=National Drug File Ð Reference Terminology, ontologyAccession=2091)
Ontology(abbreviation=OGMD_OWL, label=Ontology of Glucose Metabolism Disorder, ontologyAccession=2084)
Ontology(abbreviation=SNPO, label=SNP-Ontology, ontologyAccession=1058)
Ontology(abbreviation=WBbt, label=C. elegans gross anatomy, ontologyAccession=1048)
Ontology(abbreviation=DermLex, label=DermLex: The Dermatology Lexicon, ontologyAccession=1149)
Ontology(abbreviation=HPIO, label=Host Pathogen Interactions Ontology, ontologyAccession=1569)
Ontology(abbreviation=AERO, label=Adverse Event Reporting ontology, ontologyAccession=1580)
Ontology(abbreviation=CAO, label=COG Analysis Ontology, ontologyAccession=1582)
Ontology(abbreviation=CMO, label=Clinical Measurement Ontology, ontologyAccession=1583)
Ontology(abbreviation=CCONT, label=Cell Culture Ontology, ontologyAccession=3108)
Ontology(abbreviation=GWAS_EFO_SKOS, label=GWAS view, ontologyAccession=2099)
Ontology(abbreviation=NMR, label=NMR-instrument specific component of metabolomics investigations, ontologyAccession=1033)
Ontology(abbreviation=TADS, label=Tick gross anatomy, ontologyAccession=1065)
Ontology(abbreviation=ENVO, label=Environment Ontology, ontologyAccession=1069)
Ontology(abbreviation=MS, label=Mass spectrometry, ontologyAccession=1105)
Ontology(abbreviation=CLO, label=Cell Line Ontology, ontologyAccession=1314)
Ontology(abbreviation=OntoOrpha, label=Orphanet Ontology of Rare Diseases, ontologyAccession=1586)
Ontology(abbreviation=NBO, label=Neuro Behavior Ontology, ontologyAccession=1621)
Ontology(abbreviation=invertebrata, label=Hewan Invertebrata, ontologyAccession=1658)
Ontology(abbreviation=QIBO, label=Quantitative Imaging Biomarker Ontology, ontologyAccession=1671)
Ontology(abbreviation=TEO, label=Time Event Ontology, ontologyAccession=3042)
Ontology(abbreviation=SWEET, label=Semantic Web for Earth and Environment Technology, ontologyAccession=3158)
Ontology(abbreviation=H1_NMOABA, label=NeuroMorpho.Org Allen Brain Atlas ontology, ontologyAccession=2080)
Ontology(abbreviation=H1_NMOABA, label=NeuroMorpho.Org Allen Brain Atlas ontology, ontologyAccession=2083)
Ontology(abbreviation=MeGO, label=Mobile genetic element ontology, ontologyAccession=1257)
Ontology(abbreviation=SBO, label=Systems Biology, ontologyAccession=1046)
Ontology(abbreviation=BCGO, label=Breast Cancer Grading Ontology, ontologyAccession=1304)
Ontology(abbreviation=BAO, label=BioAssay Ontology, ontologyAccession=1533)
Ontology(abbreviation=Chem2Bio2OWL, label=Systems Chemical Biology/Chemogenomics , ontologyAccession=1615)
Ontology(abbreviation=PedTerm, label=Pediatric Terminology, ontologyAccession=1640)
Ontology(abbreviation=PMR, label=Physical Medicine and Rehabilitation, ontologyAccession=3015)
Ontology(abbreviation=CTX, label=Cerebrotendinous xanthomatosis, ontologyAccession=3025)
Ontology(abbreviation=CanCO, label=Cancer Chemoprevention Ontology, ontologyAccession=3030)
Ontology(abbreviation=OntoKBCF, label=Bio-health ontological knowledge base- cystic fibrosis, ontologyAccession=3155)
Ontology(abbreviation=SNMD_BC, label=Snomed neoplasm, breast cancer, ontologyAccession=2088)
Ontology(abbreviation=envo_153, label=envo_153, ontologyAccession=2092)
Ontology(abbreviation=SMD_NPLSM, label=Neoplasm_hamartoma, ontologyAccession=2085)
Ontology(abbreviation=SMD_NPLSM_BRST, label=Neoplasm_breast_cancer, ontologyAccession=2086)
Ontology(abbreviation=BHO, label=Bleeding History Phenotype, ontologyAccession=1116)
Ontology(abbreviation=SYMP, label=Symptom Ontology, ontologyAccession=1224)
Ontology(abbreviation=PO_PSDS, label=Plant Structure Development Stage, ontologyAccession=1038)
Ontology(abbreviation=FBcv, label=FlyBase Controlled Vocabulary, ontologyAccession=1017)
Ontology(abbreviation=RS, label=Rat Strain Ontology, ontologyAccession=1150)
Ontology(abbreviation=PKO, label=PKO_Re, ontologyAccession=1409)
Ontology(abbreviation=UnitsOntology, label=Units Ontology, ontologyAccession=1650)
Ontology(abbreviation=VariO, label=Variation Ontology, ontologyAccession=3159)
Ontology(abbreviation=IFAR, label=Fanconi Anemia (FA) Ontology, ontologyAccession=3183)
Ontology(abbreviation=ICF, label=International Classification of Functioning, Disability and Health (ICF), ontologyAccession=1411)
Ontology(abbreviation=oboe-sbc, label=Santa Barbara Coastal Observation Ontology, ontologyAccession=1523)
Ontology(abbreviation=ExO, label=Exposure Ontology, ontologyAccession=1575)
Ontology(abbreviation=cogat, label=Cognitive Atlas, ontologyAccession=1633)
Ontology(abbreviation=SPTO, label=Solanaceae Phenotype Ontology, ontologyAccession=3029)
Ontology(abbreviation=ConsentOntology, label=InformedConsentPermissionOntology, ontologyAccession=3129)
Ontology(abbreviation=ICF-NoCodeLabel, label=ICF with label-without-code, ontologyAccession=2106)
Ontology(abbreviation=NIF-RTH, label=NIF - Resource Type Hieracrchy (view), ontologyAccession=2025)
Ontology(abbreviation=CBO, label=Cell Behavior Ontology, ontologyAccession=1158)
Ontology(abbreviation=CARO, label=Common Anatomy Reference Ontology, ontologyAccession=1063)
Ontology(abbreviation=BFO, label=Basic Formal Ontology, ontologyAccession=1332)
Ontology(abbreviation=ICD9CM, label=International Classification of Diseases, ontologyAccession=1101)
Ontology(abbreviation=TOK, label=Terminological and ontological Knowledge resources, ontologyAccession=1418)
Ontology(abbreviation=REPO, label=Reproductive trait and phenotype ontology, ontologyAccession=1552)
Ontology(abbreviation=ICD10CM, label=ICD10CM, ontologyAccession=1553)
Ontology(abbreviation=PhylOnt, label=Phylogenetic Ontology, ontologyAccession=1616)
Ontology(abbreviation=EMO, label=Enzyme Mechanism Ontology, ontologyAccession=1626)
Ontology(abbreviation=dikb-evidence, label=The Drug Interaction Knowledge Base , ontologyAccession=1672)
Ontology(abbreviation=RCTOntology, label=Randomized Controlled Trials (RCT) Ontology, ontologyAccession=1676)
Ontology(abbreviation=NonRCTOntology, label=Non Randomized Controlled Trials Ontology, ontologyAccession=3012)
Ontology(abbreviation=DiagnosticOnt, label=Diagnostic Ontology, ontologyAccession=3013)
Ontology(abbreviation=RPO, label=RAPID Phenotype Ontology, ontologyAccession=3114)
